CÓDIGO DEPARTAMENTO,DEPARTAMENTO,PROVINCIA,CÓDIGO MUNICIPIO,MUNICIPIO,CODIGO DANE INSTITUCION EDUCATIVA,NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE SEDE,NOMBRE SEDE EDUCATIVA,ZONA,LATITUD,LONGITUD,FECHA DE CORTE
15,BOYACÁ,RICAURTE,15185,CHITARAQUE,315185000169,I.E. SAN PEDRO CLAVER,215185000121,ESC TUME CHICO,RURAL,6.012815,-73.467596,"Tuesday, April 16, 2024"
15,BOYACÁ,CENTRO,15187,CHIVATÁ,315187000069,I.E. AGROPECUARIO,215187000056,ESC EL MORAL,RURAL,5.532365715,-73.28473186,"Tuesday, April 16, 2024"
15,BOYACÁ,CENTRO,15187,CHIVATÁ,315187000069,I.E. AGROPECUARIO,215187000013,ESC PONTEZUELAS,RURAL,5.611095,-73.238564,"Tuesday, April 16, 2024"
15,BOYACÁ,CENTRO,15187,CHIVATÁ,315187000069,I.E. AGROPECUARIO,215187000081,ESC RICAYA NORTE,RURAL,5.566056503,-73.29008564,"Tuesday, April 16, 2024"
15,BOYACÁ,CENTRO,15187,CHIVATÁ,315187000069,I.E. AGROPECUARIO,215187000048,ESC RICAYA SUR,RURAL,5.549269406,-73.29881827,"Tuesday, April 16, 2024"
15,BOYACÁ,ORIENTE,15236,CHIVOR,115022000260,I.E. TECNICO AGROPECUARIO LA ESMERALDA,215022000281,ESC EL PINO,RURAL,4.88428404,-73.38601522,"Tuesday, April 16, 2024"
15,BOYACÁ,ORIENTE,15236,CHIVOR,115022000260,I.E. TECNICO AGROPECUARIO LA ESMERALDA,215022000043,ESC EL SINAI,RURAL,4.857521052,-73.36064422,"Tuesday, April 16, 2024"
15,BOYACÁ,ORIENTE,15236,CHIVOR,115022000260,I.E. TECNICO AGROPECUARIO LA ESMERALDA,215022000213,ESC SAN FRANCISCO,RURAL,4.863689805,-73.36508786,"Tuesday, April 16, 2024"
15,BOYACÁ,ORIENTE,15236,CHIVOR,115022000260,I.E. TECNICO AGROPECUARIO LA ESMERALDA,215022000272,ESC SAN MARTIN,RURAL,4.900032503,-73.36244309,"Tuesday, April 16, 2024"
15,BOYACÁ,MÁRQUEZ,15189,CIÉNEGA,115189000148,I.E. TECNICA JOSE CAYETANO VASQUEZ,215189000126,COL EDUC BAS CEBADAL,RURAL,5.382778,-73.308889,"Tuesday, April 16, 2024"
15,BOYACÁ,MÁRQUEZ,15189,CIÉNEGA,115189000148,I.E. TECNICA JOSE CAYETANO VASQUEZ,215189000088,ESC TAPIAS,RURAL,5.373352,-73.306397,"Tuesday, April 16, 2024"
15,BOYACÁ,MÁRQUEZ,15189,CIÉNEGA,115189000148,I.E. TECNICA JOSE CAYETANO VASQUEZ,215189000096,SEDE SAN VICENTE,RURAL,5.410184,-73.270217,"Tuesday, April 16, 2024"
15,BOYACÁ,CENTRO,15204,CÓMBITA,215204000294,I.E. SAN FRANCISCO,215204000081,ESC EL CARMEN,RURAL,5.696662134,-73.27634515,"Tuesday, April 16, 2024"
15,BOYACÁ,CENTRO,15204,CÓMBITA,115204000176,I.E. INTEGRADO,215204000146,ESC EL ROBLE,RURAL,5.662445484,-73.34463568,"Tuesday, April 16, 2024"
